policy_number,member_id
POL-37247,MEMBER-001004
POL-37247,MEMBER-001707
POL-37247,MEMBER-007153
POL-16127,MEMBER-004390
POL-16127,MEMBER-009295
POL-16127,MEMBER-005711
POL-39749,MEMBER-005434
POL-39749,MEMBER-000029
POL-39749,MEMBER-002830
POL-39749,MEMBER-007399
POL-39749,MEMBER-009818
POL-31715,MEMBER-012107
POL-31715,MEMBER-008910
POL-36687,MEMBER-005423
POL-36687,MEMBER-008762
POL-36687,MEMBER-000325
POL-36687,MEMBER-011570
POL-14851,MEMBER-002941
POL-14851,MEMBER-005913
POL-14851,MEMBER-006298
POL-36121,MEMBER-004958
POL-36121,MEMBER-008575
POL-36121,MEMBER-004060
POL-36121,MEMBER-004841
POL-36121,MEMBER-007839
POL-20154,MEMBER-011984
POL-20154,MEMBER-005729
POL-20154,MEMBER-002596
POL-20154,MEMBER-011925
POL-20154,MEMBER-004046
POL-23973,MEMBER-011175
POL-23973,MEMBER-006311
POL-39717,MEMBER-013370
POL-39717,MEMBER-005962
POL-39717,MEMBER-007786
POL-39717,MEMBER-008575
POL-39717,MEMBER-001673
POL-40922,MEMBER-003213
POL-40922,MEMBER-007352
POL-14518,MEMBER-013628
POL-14518,MEMBER-003688
POL-24337,MEMBER-004983
POL-24337,MEMBER-005890
POL-24746,MEMBER-002849
POL-24746,MEMBER-005923
POL-24746,MEMBER-013554
POL-24746,MEMBER-011461
POL-21485,MEMBER-009834
POL-21485,MEMBER-012846
POL-49438,MEMBER-004123
POL-49438,MEMBER-001877
POL-49438,MEMBER-008813
POL-49438,MEMBER-001838
POL-17847,MEMBER-000847
POL-17847,MEMBER-004758
POL-17847,MEMBER-003664
POL-17847,MEMBER-003769
POL-40379,MEMBER-009878
POL-40379,MEMBER-010391
POL-40379,MEMBER-000064
POL-40379,MEMBER-008968
POL-40379,MEMBER-008154
POL-41566,MEMBER-003890
POL-45469,MEMBER-001093
POL-45469,MEMBER-004656
POL-25802,MEMBER-007109
POL-18578,MEMBER-004241
POL-18167,MEMBER-000212
POL-18167,MEMBER-005436
POL-18167,MEMBER-005274
POL-18167,MEMBER-007104
POL-18167,MEMBER-005594
POL-15649,MEMBER-002584
POL-30277,MEMBER-005284
POL-30277,MEMBER-010201
POL-21396,MEMBER-002308
POL-21396,MEMBER-005419
POL-21396,MEMBER-006790
POL-21396,MEMBER-000354
POL-43447,MEMBER-000136
POL-43447,MEMBER-008802
POL-43447,MEMBER-010313
POL-43447,MEMBER-011745
POL-37935,MEMBER-007570
POL-37935,MEMBER-010711
POL-37935,MEMBER-010755
POL-37935,MEMBER-009557
POL-39568,MEMBER-006587
POL-39568,MEMBER-011981
POL-39568,MEMBER-004710
POL-14362,MEMBER-005192
POL-14362,MEMBER-012106
POL-14362,MEMBER-013320
POL-45700,MEMBER-004891
POL-45700,MEMBER-014809
POL-45700,MEMBER-006737
POL-45700,MEMBER-000300
POL-18848,MEMBER-009548
POL-18848,MEMBER-004917
POL-25762,MEMBER-005997
POL-25762,MEMBER-012808
POL-25762,MEMBER-014283
POL-25762,MEMBER-005305
POL-25762,MEMBER-014456
POL-13524,MEMBER-003095
POL-13524,MEMBER-009739
POL-13524,MEMBER-004662
POL-13524,MEMBER-006854
POL-13524,MEMBER-009986
POL-45573,MEMBER-011578
POL-39962,MEMBER-013265
POL-39962,MEMBER-007110
POL-39232,MEMBER-000320
POL-24099,MEMBER-011145
POL-24099,MEMBER-005217
POL-24099,MEMBER-003675
POL-49371,MEMBER-004864
POL-49371,MEMBER-007791
POL-49371,MEMBER-002470
POL-49371,MEMBER-007618
POL-49371,MEMBER-003033
POL-22780,MEMBER-000843
POL-22780,MEMBER-011906
POL-43535,MEMBER-004348
POL-43535,MEMBER-012675
POL-43535,MEMBER-006955
POL-43535,MEMBER-003166
POL-34303,MEMBER-004325
POL-34303,MEMBER-001389
POL-34303,MEMBER-013742
POL-34303,MEMBER-004164
POL-34303,MEMBER-008973
POL-11216,MEMBER-008560
POL-10339,MEMBER-010346
POL-10339,MEMBER-007592
POL-10339,MEMBER-011226
POL-10339,MEMBER-010401
POL-15186,MEMBER-002094
POL-15186,MEMBER-003884
POL-43345,MEMBER-000315
POL-43345,MEMBER-002199
POL-43345,MEMBER-004373
POL-43345,MEMBER-008707
POL-20429,MEMBER-005735
POL-20429,MEMBER-008349
POL-20429,MEMBER-012685
POL-26790,MEMBER-004419
POL-26790,MEMBER-009041
POL-26790,MEMBER-008365
POL-26790,MEMBER-003820
POL-26441,MEMBER-007172
POL-26441,MEMBER-012847
POL-26441,MEMBER-011290
POL-49384,MEMBER-008086
POL-49384,MEMBER-012076
POL-49384,MEMBER-005174
POL-49384,MEMBER-009057
POL-49384,MEMBER-008507
POL-42699,MEMBER-010930
POL-42699,MEMBER-000913
POL-42699,MEMBER-003737
POL-42699,MEMBER-014052
POL-42699,MEMBER-013518
POL-34816,MEMBER-005938
POL-34816,MEMBER-006543
POL-34816,MEMBER-012757
POL-34816,MEMBER-002371
POL-38192,MEMBER-005320
POL-38192,MEMBER-006343
POL-38192,MEMBER-003034
POL-23762,MEMBER-006282
POL-23866,MEMBER-004418
POL-16919,MEMBER-010249
POL-16919,MEMBER-000718
POL-16919,MEMBER-010947
POL-21958,MEMBER-011305
POL-21958,MEMBER-014517
POL-43347,MEMBER-004680
POL-43347,MEMBER-013171
POL-43347,MEMBER-011026
POL-18579,MEMBER-009996
POL-18579,MEMBER-003350
POL-18579,MEMBER-006533
POL-18579,MEMBER-004279
POL-16008,MEMBER-009186
POL-23158,MEMBER-010345
POL-23158,MEMBER-002993
POL-23158,MEMBER-005822
POL-23158,MEMBER-011436
POL-19319,MEMBER-007845
POL-13323,MEMBER-000532
POL-13323,MEMBER-013561
POL-13323,MEMBER-007581
POL-13323,MEMBER-006762
POL-11086,MEMBER-009590
POL-33391,MEMBER-011931
POL-33391,MEMBER-010971
POL-11743,MEMBER-012000
POL-11743,MEMBER-001948
POL-44112,MEMBER-011194
POL-44112,MEMBER-007833
POL-44112,MEMBER-000139
POL-44112,MEMBER-004647
POL-44112,MEMBER-002457
POL-22117,MEMBER-007877
POL-22117,MEMBER-014311
POL-22117,MEMBER-001755
POL-10279,MEMBER-009038
POL-11079,MEMBER-009204
POL-11079,MEMBER-011092
POL-11079,MEMBER-014147
POL-11079,MEMBER-007702
POL-47750,MEMBER-006099
POL-47750,MEMBER-004402
POL-47750,MEMBER-005084
POL-47750,MEMBER-007018
POL-44633,MEMBER-000984
POL-44633,MEMBER-002922
POL-44633,MEMBER-008345
POL-43711,MEMBER-008784
POL-43711,MEMBER-006324
POL-43711,MEMBER-012722
POL-46689,MEMBER-003248
POL-46689,MEMBER-000901
POL-46689,MEMBER-005437
POL-46689,MEMBER-014905
POL-46689,MEMBER-005103
POL-49082,MEMBER-003682
POL-49082,MEMBER-008208
POL-47383,MEMBER-014892
POL-47383,MEMBER-007435
POL-47383,MEMBER-009604
POL-24898,MEMBER-014595
POL-24898,MEMBER-013448
POL-24898,MEMBER-002525
POL-33778,MEMBER-011322
POL-33778,MEMBER-001158
POL-33778,MEMBER-009413
POL-19258,MEMBER-007031
POL-19258,MEMBER-003973
POL-19258,MEMBER-002898
POL-46994,MEMBER-005676
POL-46994,MEMBER-006575
POL-46994,MEMBER-009663
POL-26566,MEMBER-014712
POL-26566,MEMBER-004308
POL-42686,MEMBER-008114
POL-42686,MEMBER-000856
POL-42686,MEMBER-004682
POL-42686,MEMBER-002732
POL-33394,MEMBER-009400
POL-33394,MEMBER-012517
POL-33394,MEMBER-004517
POL-33394,MEMBER-001031
POL-33394,MEMBER-012910
POL-32745,MEMBER-005948
POL-32745,MEMBER-002275
POL-32745,MEMBER-004851
POL-32745,MEMBER-007060
POL-32745,MEMBER-001541
POL-43098,MEMBER-004092
POL-43098,MEMBER-014628
POL-47788,MEMBER-009121
POL-47788,MEMBER-003636
POL-47788,MEMBER-003950
POL-28241,MEMBER-002727
POL-28241,MEMBER-007972
POL-28241,MEMBER-002843
POL-28241,MEMBER-004172
POL-14549,MEMBER-014797
POL-14549,MEMBER-008294
POL-14549,MEMBER-010562
POL-15166,MEMBER-008903
POL-15166,MEMBER-005556
POL-16249,MEMBER-009721
POL-16249,MEMBER-013621
POL-16249,MEMBER-002774
POL-10095,MEMBER-011826
POL-10095,MEMBER-004363
POL-10095,MEMBER-004686
POL-43262,MEMBER-001995
POL-43262,MEMBER-002764
POL-43262,MEMBER-003108
POL-43262,MEMBER-003644
POL-43262,MEMBER-005289
POL-21026,MEMBER-010498
POL-21026,MEMBER-005449
POL-21026,MEMBER-014891
POL-43781,MEMBER-014507
POL-19789,MEMBER-013758
POL-19789,MEMBER-006118
POL-19789,MEMBER-009953
POL-31762,MEMBER-009199
POL-31762,MEMBER-007127
POL-31762,MEMBER-009021
POL-31762,MEMBER-000338
POL-31762,MEMBER-005904
POL-39444,MEMBER-003475
POL-39444,MEMBER-002388
POL-35206,MEMBER-004340
POL-35206,MEMBER-004310
POL-35206,MEMBER-007907
POL-35206,MEMBER-013714
POL-41242,MEMBER-009286
POL-24663,MEMBER-006684
POL-24663,MEMBER-010511
POL-24663,MEMBER-011603
POL-18161,MEMBER-004414
POL-18161,MEMBER-008827
POL-18161,MEMBER-002186
POL-18161,MEMBER-006648
POL-14166,MEMBER-004663
POL-14166,MEMBER-011373
POL-19587,MEMBER-005490
POL-27377,MEMBER-011445
POL-27377,MEMBER-011816
POL-49456,MEMBER-002206
POL-49456,MEMBER-011245
POL-49456,MEMBER-012420
POL-29670,MEMBER-008146
POL-44537,MEMBER-001154
POL-44537,MEMBER-012356
POL-44537,MEMBER-008800
POL-25757,MEMBER-012732
POL-25757,MEMBER-013105
POL-25757,MEMBER-002052
POL-25757,MEMBER-009068
POL-30751,MEMBER-003373
POL-30751,MEMBER-008369
POL-30751,MEMBER-006737
POL-22001,MEMBER-013617
POL-22001,MEMBER-012810
POL-22001,MEMBER-008687
POL-21914,MEMBER-007695
POL-21914,MEMBER-010109
POL-11118,MEMBER-006294
POL-11118,MEMBER-011782
POL-28818,MEMBER-011718
POL-43770,MEMBER-006651
POL-22055,MEMBER-006588
POL-22055,MEMBER-007194
POL-22055,MEMBER-013926
POL-22055,MEMBER-008383
POL-16099,MEMBER-002878
POL-18220,MEMBER-007660
POL-18220,MEMBER-014775
POL-18220,MEMBER-002819
POL-18220,MEMBER-004276
POL-18220,MEMBER-004011
POL-44768,MEMBER-002169
POL-44768,MEMBER-009073
POL-44768,MEMBER-000547
POL-44768,MEMBER-014052
POL-44768,MEMBER-013666
POL-30079,MEMBER-007522
POL-35667,MEMBER-011933
POL-35667,MEMBER-002091
POL-35667,MEMBER-011738
POL-35667,MEMBER-013678
POL-34638,MEMBER-014185
POL-34638,MEMBER-011286
POL-23465,MEMBER-003600
POL-23465,MEMBER-009113
POL-23465,MEMBER-012021
POL-23465,MEMBER-002063
POL-23465,MEMBER-005027
POL-28781,MEMBER-008440
POL-28781,MEMBER-006941
POL-28781,MEMBER-004716
POL-28781,MEMBER-012167
POL-12891,MEMBER-012910
POL-47309,MEMBER-000277
POL-43814,MEMBER-011577
POL-43814,MEMBER-009465
POL-43814,MEMBER-014667
POL-43814,MEMBER-013314
POL-43814,MEMBER-012470
POL-40278,MEMBER-014010
POL-40278,MEMBER-006668
POL-40278,MEMBER-005927
POL-40278,MEMBER-004545
POL-40278,MEMBER-012539
POL-27748,MEMBER-000817
POL-27748,MEMBER-000481
POL-27748,MEMBER-011590
POL-13429,MEMBER-006686
POL-13429,MEMBER-004039
POL-13429,MEMBER-004252
POL-13429,MEMBER-003191
POL-12338,MEMBER-009513
POL-12338,MEMBER-010546
POL-43517,MEMBER-007082
POL-43517,MEMBER-010595
POL-43517,MEMBER-014078
POL-10657,MEMBER-004824
POL-10657,MEMBER-004694
POL-10657,MEMBER-001871
POL-10657,MEMBER-014065
POL-36744,MEMBER-001509
POL-36744,MEMBER-014679
POL-36744,MEMBER-003105
POL-23571,MEMBER-003170
POL-18714,MEMBER-002662
POL-39952,MEMBER-002571
POL-39952,MEMBER-010917
POL-39952,MEMBER-005512
POL-39952,MEMBER-003874
POL-14171,MEMBER-009720
POL-38388,MEMBER-008566
POL-28462,MEMBER-003237
POL-47423,MEMBER-004523
POL-47423,MEMBER-000531
POL-47423,MEMBER-001945
POL-14928,MEMBER-008388
POL-14928,MEMBER-013795
POL-14928,MEMBER-005242
POL-14928,MEMBER-000020
POL-14928,MEMBER-010813
POL-23693,MEMBER-013915
POL-23693,MEMBER-005546
POL-23693,MEMBER-009343
POL-18911,MEMBER-011332
POL-18911,MEMBER-006955
POL-18911,MEMBER-014312
POL-18911,MEMBER-007033
POL-18911,MEMBER-006601
POL-43068,MEMBER-008952
POL-43068,MEMBER-014246
POL-43068,MEMBER-002289
POL-43068,MEMBER-004490
POL-21149,MEMBER-013687
POL-41725,MEMBER-009072
POL-41725,MEMBER-003207
POL-41725,MEMBER-003722
POL-41725,MEMBER-011797
POL-10011,MEMBER-005447
POL-10011,MEMBER-011690
POL-10011,MEMBER-014238
POL-10011,MEMBER-010565
POL-10011,MEMBER-008364
POL-25008,MEMBER-010042
POL-25008,MEMBER-007916
POL-25008,MEMBER-006613
POL-25008,MEMBER-011202
POL-25008,MEMBER-014865
POL-28772,MEMBER-008807
POL-28772,MEMBER-000910
POL-28772,MEMBER-013787
POL-25502,MEMBER-014573
POL-11288,MEMBER-000600
POL-11288,MEMBER-008204
POL-11288,MEMBER-000848
POL-17895,MEMBER-003999
POL-17895,MEMBER-004964
POL-17895,MEMBER-002470
POL-49379,MEMBER-011133
POL-49379,MEMBER-001928
POL-49379,MEMBER-009779
POL-49379,MEMBER-004266
POL-49379,MEMBER-009850
POL-33631,MEMBER-001375
POL-33631,MEMBER-010943
POL-33631,MEMBER-007317
POL-23199,MEMBER-005662
POL-23199,MEMBER-010405
POL-23199,MEMBER-009404
POL-13383,MEMBER-006157
POL-13383,MEMBER-003833
POL-13383,MEMBER-009783
POL-13383,MEMBER-014508
POL-46003,MEMBER-011757
POL-46369,MEMBER-011268
POL-46369,MEMBER-004684
POL-25133,MEMBER-002566
POL-35872,MEMBER-006752
POL-35872,MEMBER-007633
POL-35872,MEMBER-003180
POL-35872,MEMBER-009516
POL-28015,MEMBER-002693
POL-28015,MEMBER-008951
POL-24386,MEMBER-009074
POL-24386,MEMBER-006409
POL-24386,MEMBER-014243
POL-30639,MEMBER-006708
POL-30639,MEMBER-000179
POL-49739,MEMBER-009215
POL-36064,MEMBER-006253
POL-36064,MEMBER-005772
POL-36064,MEMBER-002067
POL-36064,MEMBER-006621
POL-36064,MEMBER-011567
POL-40640,MEMBER-007232
POL-24597,MEMBER-011000
POL-24597,MEMBER-014721
POL-24597,MEMBER-005572
POL-24597,MEMBER-000764
POL-28669,MEMBER-009744
POL-40733,MEMBER-011719
POL-40733,MEMBER-012535
POL-40733,MEMBER-009950
POL-40733,MEMBER-004234
POL-40733,MEMBER-002858
POL-49040,MEMBER-007715
POL-49040,MEMBER-013353
POL-49040,MEMBER-010208
POL-49040,MEMBER-010616
POL-18021,MEMBER-008328
POL-18021,MEMBER-006987
POL-31225,MEMBER-012627
POL-31225,MEMBER-009173
POL-31225,MEMBER-012441
POL-19264,MEMBER-001183
POL-19264,MEMBER-006292
POL-19264,MEMBER-006807
POL-19264,MEMBER-011644
POL-19264,MEMBER-007257
POL-38020,MEMBER-007938
POL-38020,MEMBER-008393
POL-24047,MEMBER-010739
POL-11819,MEMBER-001852
POL-17533,MEMBER-002492
POL-17533,MEMBER-011853
POL-17533,MEMBER-003786
POL-17533,MEMBER-007453
POL-11249,MEMBER-003850
POL-11249,MEMBER-013299
POL-18537,MEMBER-006281
POL-18537,MEMBER-012361
POL-18537,MEMBER-008964
POL-18537,MEMBER-014532
POL-47898,MEMBER-006450
POL-47898,MEMBER-006553
POL-47898,MEMBER-003051
POL-47898,MEMBER-008788
POL-47898,MEMBER-003651
POL-18575,MEMBER-007673
POL-18575,MEMBER-012862
POL-31621,MEMBER-001357
POL-31621,MEMBER-001173
POL-31621,MEMBER-012417
POL-31621,MEMBER-014695
POL-12039,MEMBER-001015
POL-12039,MEMBER-012043
POL-12039,MEMBER-009976
POL-12039,MEMBER-004871
POL-21420,MEMBER-009560
POL-29728,MEMBER-013213
POL-29728,MEMBER-006729
POL-29728,MEMBER-013712
POL-29728,MEMBER-011454
POL-29728,MEMBER-001793
POL-45489,MEMBER-008588
POL-45489,MEMBER-008008
POL-45489,MEMBER-008684
POL-44724,MEMBER-003790
POL-44724,MEMBER-004538
POL-44724,MEMBER-007338
POL-34391,MEMBER-001312
POL-34391,MEMBER-009145
POL-34391,MEMBER-009198
POL-34391,MEMBER-004266
POL-34391,MEMBER-004598
POL-42822,MEMBER-005879
POL-40113,MEMBER-012174
POL-40113,MEMBER-000110
POL-40113,MEMBER-014639
POL-49066,MEMBER-007461
POL-49066,MEMBER-000753
POL-49066,MEMBER-005421
POL-49066,MEMBER-006735
POL-49066,MEMBER-013608
POL-25575,MEMBER-009516
POL-45284,MEMBER-005473
POL-44381,MEMBER-007656
POL-44381,MEMBER-001880
POL-44381,MEMBER-010759
POL-44381,MEMBER-003900
POL-44381,MEMBER-011132
POL-27327,MEMBER-001523
POL-27327,MEMBER-013405
POL-27327,MEMBER-007529
POL-17099,MEMBER-009741
POL-32073,MEMBER-000167
POL-45235,MEMBER-012969
POL-45235,MEMBER-012127
POL-16616,MEMBER-010673
POL-16616,MEMBER-014777
POL-16616,MEMBER-011178
POL-16616,MEMBER-013355
POL-49841,MEMBER-010885
POL-17375,MEMBER-003280
POL-17375,MEMBER-000954
POL-17375,MEMBER-000198
POL-17375,MEMBER-009842
POL-37637,MEMBER-011390
POL-37637,MEMBER-001943
POL-37637,MEMBER-010929
POL-37637,MEMBER-002799
POL-37061,MEMBER-006290
POL-37061,MEMBER-002285
POL-46448,MEMBER-013521
POL-46448,MEMBER-010913
POL-46448,MEMBER-001286
POL-46448,MEMBER-006018
POL-46448,MEMBER-011770
POL-13309,MEMBER-005139
POL-13309,MEMBER-011114
POL-13309,MEMBER-014708
POL-13309,MEMBER-014601
POL-13309,MEMBER-010225
POL-13261,MEMBER-002214
POL-13261,MEMBER-008121
POL-13261,MEMBER-000422
POL-26912,MEMBER-010594
POL-26912,MEMBER-009518
POL-26912,MEMBER-005416
POL-30378,MEMBER-014357
POL-30378,MEMBER-005164
POL-49404,MEMBER-002587
POL-49404,MEMBER-003039
POL-49404,MEMBER-001363
POL-49404,MEMBER-001492
POL-49404,MEMBER-002774
POL-13933,MEMBER-003005
POL-13933,MEMBER-005178
POL-49277,MEMBER-001306
POL-49277,MEMBER-010342
POL-49277,MEMBER-002087
POL-49277,MEMBER-014363
POL-26587,MEMBER-009727
POL-26587,MEMBER-004117
POL-26587,MEMBER-011332
POL-26587,MEMBER-010907
POL-49072,MEMBER-013527
POL-49072,MEMBER-011904
POL-49072,MEMBER-009757
POL-11818,MEMBER-001137
POL-11818,MEMBER-004686
POL-11818,MEMBER-013116
POL-11818,MEMBER-001954
POL-11818,MEMBER-014648
POL-19953,MEMBER-003596
POL-33706,MEMBER-013818
POL-33706,MEMBER-005933
POL-33706,MEMBER-012637
POL-33706,MEMBER-001392
POL-21708,MEMBER-004369
POL-26880,MEMBER-005897
POL-26880,MEMBER-012121
POL-26880,MEMBER-009404
POL-26880,MEMBER-012109
POL-26880,MEMBER-010867
POL-14907,MEMBER-009929
POL-14907,MEMBER-007606
POL-41274,MEMBER-011160
POL-41274,MEMBER-002725
POL-26558,MEMBER-014335
POL-26558,MEMBER-005877
POL-26558,MEMBER-014931
POL-42542,MEMBER-007916
POL-42542,MEMBER-004719
POL-42542,MEMBER-002317
POL-42542,MEMBER-013368
POL-42542,MEMBER-003523
POL-47817,MEMBER-014657
POL-47817,MEMBER-012352
POL-49605,MEMBER-000055
POL-49605,MEMBER-000694
POL-31517,MEMBER-001362
POL-12071,MEMBER-013231
POL-45082,MEMBER-003864
POL-45082,MEMBER-002646
POL-45082,MEMBER-012215
POL-45082,MEMBER-002297
POL-45082,MEMBER-004575
POL-42718,MEMBER-004987
POL-42718,MEMBER-014802
POL-37965,MEMBER-000547
POL-37965,MEMBER-004336
POL-37965,MEMBER-002823
POL-28084,MEMBER-002349
POL-28084,MEMBER-003695
POL-28084,MEMBER-011271
POL-28084,MEMBER-013202
POL-28084,MEMBER-011536
POL-15377,MEMBER-003779
POL-15377,MEMBER-006010
POL-15377,MEMBER-005098
POL-15377,MEMBER-013269
POL-19452,MEMBER-010227
POL-23928,MEMBER-007155
POL-23928,MEMBER-010385
POL-23928,MEMBER-006467
POL-17152,MEMBER-003462
POL-17152,MEMBER-009388
POL-17152,MEMBER-013647
POL-17152,MEMBER-003899
POL-17152,MEMBER-003780
POL-39931,MEMBER-005695
POL-39931,MEMBER-002733
POL-39931,MEMBER-001561
POL-49516,MEMBER-001886
POL-49516,MEMBER-004230
POL-49516,MEMBER-013265
POL-42373,MEMBER-014060
POL-42373,MEMBER-006746
POL-36328,MEMBER-007596
POL-36796,MEMBER-002556
POL-36796,MEMBER-002294
POL-10613,MEMBER-005950
POL-10613,MEMBER-001826
POL-10613,MEMBER-010564
POL-14344,MEMBER-002439
POL-14344,MEMBER-008344
POL-17884,MEMBER-002059
POL-17884,MEMBER-014511
POL-17884,MEMBER-003438
POL-17884,MEMBER-007851
POL-17884,MEMBER-002103
POL-12326,MEMBER-008977
POL-12326,MEMBER-009086
POL-12326,MEMBER-004021
POL-12326,MEMBER-007315
POL-46105,MEMBER-005425
POL-46105,MEMBER-002136
POL-29361,MEMBER-003627
POL-29361,MEMBER-008368
POL-29361,MEMBER-011331
POL-29361,MEMBER-012827
POL-29361,MEMBER-013991
POL-30898,MEMBER-011010
POL-30898,MEMBER-004688
POL-30898,MEMBER-013809
POL-30898,MEMBER-011444
POL-30898,MEMBER-011754
POL-18079,MEMBER-012474
POL-18079,MEMBER-014309
POL-18079,MEMBER-014800
POL-18079,MEMBER-003268
POL-14816,MEMBER-012141
POL-14816,MEMBER-010989
POL-14816,MEMBER-010642
POL-14816,MEMBER-003350
POL-14816,MEMBER-008228
POL-15962,MEMBER-004669
POL-29620,MEMBER-002276
POL-29620,MEMBER-010414
POL-41809,MEMBER-008739
POL-41809,MEMBER-013456
POL-23408,MEMBER-006950
POL-42839,MEMBER-012206
POL-42839,MEMBER-005695
POL-42839,MEMBER-000708
POL-44348,MEMBER-003237
POL-44348,MEMBER-014330
POL-44348,MEMBER-010498
POL-18701,MEMBER-014625
POL-18701,MEMBER-005866
POL-13898,MEMBER-012803
POL-33935,MEMBER-009609
POL-29946,MEMBER-000436
POL-29946,MEMBER-003002
POL-29946,MEMBER-006333
POL-29946,MEMBER-008569
POL-29946,MEMBER-004607
POL-33953,MEMBER-000406
POL-33953,MEMBER-003114
POL-33953,MEMBER-003575
POL-33953,MEMBER-013742
POL-33953,MEMBER-000112
POL-28079,MEMBER-008057
POL-28079,MEMBER-006959
POL-19582,MEMBER-007750
POL-19582,MEMBER-003873
POL-19582,MEMBER-010535
POL-14249,MEMBER-008245
POL-14249,MEMBER-012858
POL-14249,MEMBER-008129
POL-14249,MEMBER-005527
POL-14249,MEMBER-011025
POL-42050,MEMBER-014876
POL-42050,MEMBER-004248
POL-26692,MEMBER-011913
POL-46962,MEMBER-012156
POL-46962,MEMBER-011143
POL-46962,MEMBER-002806
POL-46962,MEMBER-008886
POL-21464,MEMBER-008087
POL-21464,MEMBER-010077
POL-21464,MEMBER-010970
POL-10851,MEMBER-001412
POL-10851,MEMBER-005119
POL-10851,MEMBER-013239
POL-10851,MEMBER-007751
POL-10851,MEMBER-004379
POL-36513,MEMBER-000001
POL-36513,MEMBER-007493
POL-36513,MEMBER-001162
POL-36513,MEMBER-010159
POL-36513,MEMBER-012446
POL-26598,MEMBER-004339
POL-26598,MEMBER-008703
POL-26598,MEMBER-013705
POL-26598,MEMBER-002910
POL-26598,MEMBER-010044
POL-44374,MEMBER-005869
POL-44374,MEMBER-007405
POL-44374,MEMBER-010867
POL-44374,MEMBER-012304
POL-44374,MEMBER-004451
POL-30240,MEMBER-011365
POL-24210,MEMBER-009687
POL-24210,MEMBER-001793
POL-24210,MEMBER-008424
POL-24210,MEMBER-012965
POL-35762,MEMBER-012435
POL-35762,MEMBER-007838
POL-35762,MEMBER-009240
POL-35762,MEMBER-014006
POL-49422,MEMBER-013851
POL-49422,MEMBER-009021
POL-33537,MEMBER-012764
POL-33537,MEMBER-006062
POL-33537,MEMBER-000604
POL-47380,MEMBER-005665
POL-47380,MEMBER-013056
POL-47380,MEMBER-000245
POL-39800,MEMBER-007157
POL-39800,MEMBER-005123
POL-39800,MEMBER-002275
POL-37721,MEMBER-010293
POL-37721,MEMBER-002462
POL-37721,MEMBER-009965
POL-37721,MEMBER-012634
POL-37721,MEMBER-012231
POL-20899,MEMBER-014838
POL-20899,MEMBER-000284
POL-20899,MEMBER-000845
POL-42551,MEMBER-005797
POL-42551,MEMBER-001440
POL-42551,MEMBER-006421
POL-42551,MEMBER-012708
POL-22149,MEMBER-012973
POL-22149,MEMBER-003397
POL-22149,MEMBER-000481
POL-22149,MEMBER-011752
POL-22149,MEMBER-004072
POL-42056,MEMBER-008517
POL-42056,MEMBER-007860
POL-10655,MEMBER-003776
POL-10655,MEMBER-001623
POL-10655,MEMBER-013359
POL-10655,MEMBER-001380
POL-10655,MEMBER-011800
POL-23182,MEMBER-009962
POL-37102,MEMBER-002546
POL-32278,MEMBER-006385
POL-32278,MEMBER-001302
POL-32278,MEMBER-001354
POL-21266,MEMBER-000601
POL-21266,MEMBER-003912
POL-18190,MEMBER-003429
POL-18190,MEMBER-006467
POL-18190,MEMBER-011035
POL-18190,MEMBER-009772
POL-46287,MEMBER-014238
POL-46287,MEMBER-001291
POL-46287,MEMBER-013138
POL-46287,MEMBER-013941
POL-40220,MEMBER-011111
POL-40220,MEMBER-012800
POL-40220,MEMBER-000269
POL-40220,MEMBER-009969
POL-40220,MEMBER-012642
POL-17473,MEMBER-005856
POL-17473,MEMBER-013357
POL-27997,MEMBER-011182
POL-27997,MEMBER-009070
POL-27997,MEMBER-000846
POL-27997,MEMBER-011205
POL-43175,MEMBER-000239
POL-43175,MEMBER-009687
POL-43175,MEMBER-014813
POL-43175,MEMBER-014749
POL-25421,MEMBER-008267
POL-25421,MEMBER-010893
POL-25421,MEMBER-005945
POL-33655,MEMBER-002423
POL-33655,MEMBER-001122
POL-33655,MEMBER-005154
POL-33655,MEMBER-012941
POL-34240,MEMBER-006588
POL-34240,MEMBER-005801
POL-34240,MEMBER-009993
POL-34240,MEMBER-002382
POL-17301,MEMBER-000645
POL-17301,MEMBER-000469
POL-17301,MEMBER-006564
POL-17301,MEMBER-009307
POL-17301,MEMBER-000036
POL-13924,MEMBER-013534
POL-13924,MEMBER-005349
POL-34804,MEMBER-006432
POL-34804,MEMBER-008477
POL-26825,MEMBER-008156
POL-26825,MEMBER-001125
POL-26825,MEMBER-012598
POL-32611,MEMBER-013285
POL-32611,MEMBER-013121
POL-32611,MEMBER-010885
POL-23476,MEMBER-005689
POL-23476,MEMBER-013572
POL-23476,MEMBER-007443
POL-23476,MEMBER-006632
POL-49999,MEMBER-010493
POL-49999,MEMBER-014288
POL-49999,MEMBER-005686
POL-44058,MEMBER-004708
POL-42291,MEMBER-004569
POL-42291,MEMBER-009112
POL-29051,MEMBER-014776
POL-29051,MEMBER-006165
POL-40263,MEMBER-006717
POL-40263,MEMBER-007415
POL-40263,MEMBER-008455
POL-40263,MEMBER-004928
POL-40263,MEMBER-005001
POL-31212,MEMBER-010201
POL-31212,MEMBER-007229
POL-31212,MEMBER-014726
POL-31212,MEMBER-010464
POL-31212,MEMBER-013211
